VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-01-01 00:00:03,2016-01-01 00:06:19,1,.79,-74.006149291992188,40.744918823242188,1,N,-73.993797302246094,40.741439819335938,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-01-01 00:00:03,2016-01-01 00:15:49,6,2.43,-73.969329833984375,40.763538360595703,1,N,-73.995689392089844,40.744251251220703,1,12,0.5,0.5,3.99,0,0.3,17.29
2,2016-01-01 00:00:03,2016-01-01 00:00:11,4,.01,-73.989021301269531,40.721538543701172,1,N,-73.988960266113281,40.721698760986328,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2016-01-01 00:00:04,2016-01-01 00:14:32,1,3.70,-74.004302978515625,40.742240905761719,1,N,-74.007362365722656,40.706935882568359,1,14,0.5,0.5,3.05,0,0.3,18.35
1,2016-01-01 00:00:05,2016-01-01 00:14:27,2,2.20,-73.991996765136719,40.718578338623047,1,N,-74.005134582519531,40.739944458007813,1,11,0.5,0.5,1.5,0,0.3,13.8
2,2016-01-01 00:00:05,2016-01-01 00:07:17,1,.54,-73.985160827636719,40.768951416015625,1,N,-73.990226745605469,40.761730194091797,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-01-01 00:00:05,2016-01-01 00:07:14,1,1.92,-73.973091125488281,40.795360565185547,1,N,-73.978370666503906,40.773151397705078,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2016-01-01 00:00:06,2016-01-01 00:04:44,1,1.70,-73.982101440429688,40.774696350097656,1,Y,-73.970939636230469,40.796707153320313,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2016-01-01 00:00:06,2016-01-01 00:07:14,1,1.38,-73.994842529296875,40.718498229980469,1,N,-73.98980712890625,40.734230041503906,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2016-01-01 00:00:07,2016-01-01 00:20:35,2,4.90,-73.953033447265625,40.672115325927734,1,N,-73.986572265625,40.710594177246094,1,19,0.5,0.5,4.06,0,0.3,24.36
1,2016-01-01 00:00:07,2016-01-01 00:09:49,1,1.80,-73.989166259765625,40.726589202880859,1,N,-74.009483337402344,40.715072631835938,2,9,0.5,0.5,0,0,0.3,10.3
2,2016-01-01 00:00:08,2016-01-01 00:18:51,1,3.09,-73.999069213867188,40.720172882080078,1,N,-73.973388671875,40.756561279296875,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2016-01-01 00:00:08,2016-01-01 00:04:37,1,.72,-73.997138977050781,40.747219085693359,1,N,-74.004486083984375,40.751796722412109,2,5,0.5,0.5,0,0,0.3,6.3
2,2016-01-01 00:00:08,2016-01-01 00:03:24,1,.69,-73.997413635253906,40.736675262451172,1,N,-73.985664367675781,40.732681274414063,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-01-01 00:00:09,2016-01-01 00:19:03,3,5.30,-73.99713134765625,40.736961364746094,1,N,-73.928421020507813,40.755580902099609,1,18,0.5,0.5,3.85,0,0.3,23.15
1,2016-01-01 00:00:09,2016-01-01 00:07:18,2,1.20,-73.963912963867188,40.712173461914062,1,N,-73.951332092285156,40.712200164794922,2,7,0.5,0.5,0,0,0.3,8.3
2,2016-01-01 00:00:10,2016-01-01 00:06:15,2,.97,-73.999397277832031,40.743900299072266,1,N,-73.988876342773438,40.745319366455078,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-01-01 00:00:10,2016-01-01 00:02:20,1,.87,-73.95440673828125,40.778068542480469,1,N,-73.948928833007813,40.788581848144531,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-01-01 00:00:12,2016-01-01 00:01:17,1,.13,-73.991653442382813,40.754558563232422,1,N,-73.9906005859375,40.756118774414063,2,3,0.5,0.5,0,0,0.3,4.3
1,2016-01-01 00:00:14,2016-01-01 00:13:02,1,2.40,-73.995597839355469,40.744239807128906,1,N,-73.985458374023438,40.768711090087891,1,11,0.5,0.5,3.05,0,0.3,15.35
2,2016-01-01 00:00:14,2016-01-01 00:02:38,2,.44,-73.990272521972656,40.772010803222656,1,N,-73.995040893554687,40.769771575927734,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2016-01-01 00:00:15,2016-01-01 00:06:31,1,1.56,-73.940109252929687,40.751152038574219,1,N,-73.930023193359375,40.767051696777344,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2016-01-01 00:00:16,2016-01-01 00:33:00,2,2.90,-73.982154846191406,40.774879455566406,1,N,-73.981361389160156,40.744113922119141,2,20.5,0.5,0.5,0,0,0.3,21.8
1,2016-01-01 00:00:17,2016-01-01 00:19:14,1,1.20,-74.008064270019531,40.742069244384766,1,N,-74.002288818359375,40.742164611816406,3,12.5,0.5,0.5,0,0,0.3,13.8
1,2016-01-01 00:00:17,2016-01-01 00:13:59,1,1.50,-74.002677917480469,40.730636596679688,1,N,-73.980422973632813,40.726211547851563,1,10,0.5,0.5,3.35,0,0.3,14.65
2,2016-01-01 00:00:17,2016-01-01 00:42:23,1,2.32,-73.981658935546875,40.773738861083984,1,N,-73.995964050292969,40.753837585449219,2,19,0.5,0.5,0,0,0.3,20.3
2,2016-01-01 00:00:17,2016-01-01 00:14:26,5,9.63,-73.981742858886719,40.719158172607422,1,N,-73.938827514648438,40.829181671142578,1,27,0.5,0.5,8.49,0,0.3,36.79
2,2016-01-01 00:00:18,2016-01-01 00:05:44,5,1.17,-73.963058471679688,40.775016784667969,1,N,-73.951744079589844,40.778800964355469,2,6,0.5,0.5,0,0,0.3,7.3
1,2016-01-01 00:00:19,2016-01-01 00:19:33,1,3.40,0,0,1,N,0,0,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2016-01-01 00:00:19,2016-01-01 00:06:31,3,1.32,-73.961257934570313,40.796199798583984,1,N,-73.950050354003906,40.787311553955078,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2016-01-01 00:00:20,2016-01-01 00:29:05,1,13.00,-73.98223876953125,40.757701873779297,1,N,-73.909309387207031,40.862049102783203,2,36.5,0.5,0.5,0,0,0.3,37.8
1,2016-01-01 00:00:21,2016-01-01 00:17:30,1,.70,-73.894126892089844,40.636573791503906,1,Y,-73.892501831054687,40.634834289550781,2,11,0.5,0.5,0,0,0.3,12.3
1,2016-01-01 00:00:21,2016-01-01 00:32:09,1,5.40,-73.946418762207031,40.789138793945313,1,N,-73.915901184082031,40.851547241210937,2,24.5,0.5,0.5,0,0,0.3,25.8
2,2016-01-01 00:00:22,2016-01-01 00:12:12,1,3.30,-73.975677490234375,40.749099731445313,1,N,-73.973648071289063,40.78369140625,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2016-01-01 00:00:22,2016-01-01 00:13:37,6,2.94,-73.949691772460938,40.784618377685547,1,N,-73.971031188964844,40.751018524169922,2,12,0.5,0.5,0,0,0.3,13.3
2,2016-01-01 00:00:22,2016-01-01 00:13:58,2,5.23,-73.981849670410156,40.716880798339844,1,N,-73.969329833984375,40.769378662109375,2,17.5,0.5,0.5,0,0,0.3,18.8
1,2016-01-01 00:00:26,2016-01-01 00:07:41,1,1.30,-73.96588134765625,40.688564300537109,1,N,-73.962692260742187,40.671928405761719,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2016-01-01 00:00:27,2016-01-01 00:17:41,1,4.70,-73.995864868164063,40.767772674560547,1,N,-74.009605407714844,40.709926605224609,1,17,0.5,0.5,2,0,0.3,20.3
2,2016-01-01 00:00:27,2016-01-01 00:08:40,1,.83,-73.978767395019531,40.745105743408203,1,N,-73.992210388183594,40.749309539794922,2,7,0.5,0.5,0,0,0.3,8.3
1,2016-01-01 00:00:28,2016-01-01 00:22:51,1,15.40,-73.97650146484375,40.733562469482422,1,N,-73.854263305664062,40.891788482666016,1,41.5,0.5,0.5,8.55,0,0.3,51.35
2,2016-01-01 00:00:29,2016-01-01 00:08:45,3,1.64,-73.969375610351562,40.785236358642578,1,N,-73.945564270019531,40.777980804443359,1,8.5,0.5,0.5,0,0,0.3,9.8
1,2016-01-01 00:00:30,2016-01-01 00:15:47,1,5.10,-73.990585327148438,40.745880126953125,1,N,-73.969886779785156,40.801265716552734,1,17.5,0.5,0.5,2.82,0,0.3,21.62
2,2016-01-01 00:00:30,2016-01-01 00:18:25,1,1.10,-73.974342346191406,40.756660461425781,1,N,-73.981483459472656,40.753715515136719,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2016-01-01 00:00:30,2016-01-01 00:03:06,1,.35,-73.992347717285156,40.743438720703125,1,N,-73.996421813964844,40.746063232421875,1,4,0.5,0.5,1.59,0,0.3,6.89
1,2016-01-01 00:00:31,2016-01-01 00:03:57,1,1.30,-73.933525085449219,40.802928924560547,1,N,-73.945671081542969,40.785984039306641,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2016-01-01 00:00:32,2016-01-01 00:27:02,5,7.25,-73.972953796386719,40.755718231201172,1,N,-73.978813171386719,40.684551239013672,2,26,0.5,0.5,0,0,0.3,27.3
2,2016-01-01 00:00:32,2016-01-01 00:13:20,5,3.60,-73.9969482421875,40.720500946044922,1,N,-73.958183288574219,40.721790313720703,1,13.5,0.5,0.5,2.96,0,0.3,17.76
2,2016-01-01 00:00:32,2016-01-01 00:09:37,6,.32,-73.993759155273438,40.751621246337891,1,N,-73.990867614746094,40.756088256835937,1,7,0.5,0.5,0,0,0.3,8.3
1,2016-01-01 00:00:34,2016-01-01 00:10:36,1,3.70,-73.978317260742188,40.763179779052734,1,N,-73.921607971191406,40.741374969482422,1,13,0.5,0.5,5.7,0,0.3,20
2,2016-01-01 00:00:36,2016-01-01 00:10:02,1,1.61,-73.963752746582031,40.771160125732422,1,N,-73.975601196289063,40.752738952636719,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2016-01-01 00:00:37,2016-01-01 00:06:01,1,1.20,-73.976020812988281,40.744560241699219,1,N,-73.96649169921875,40.753662109375,1,6.5,0.5,0.5,2.3,0,0.3,10.1
1,2016-01-01 00:00:38,2016-01-01 00:17:25,1,8.80,-73.976791381835938,40.733699798583984,1,N,-73.892143249511719,40.750724792480469,1,26,0.5,0.5,5.45,0,0.3,32.75
2,2016-01-01 00:00:38,2016-01-01 00:34:04,1,14.04,-73.984283447265625,40.748058319091797,1,N,-73.992088317871094,40.609176635742187,2,42,0.5,0.5,0,0,0.3,43.3
1,2016-01-01 00:00:39,2016-01-01 00:08:41,1,2.20,-73.969871520996094,40.768508911132813,1,N,-73.949348449707031,40.787765502929688,2,9,0.5,0.5,0,0,0.3,10.3
1,2016-01-01 00:00:40,2016-01-01 00:14:03,1,4.30,-73.966178894042969,40.762222290039063,1,N,-73.897758483886719,40.743141174316406,2,15.5,0.5,0.5,0,0,0.3,16.8
1,2016-01-01 00:00:40,2016-01-01 00:11:05,2,1.30,-74.004379272460937,40.742252349853516,1,N,-73.984222412109375,40.738197326660156,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2016-01-01 00:00:40,2016-01-01 00:07:33,1,1.03,-73.9913330078125,40.723892211914063,1,N,-73.983688354492187,40.721515655517578,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2016-01-01 00:00:41,2016-01-01 00:00:46,5,.00,0,0,3,N,0,0,2,20,0.5,0,0,0,0.3,20.8
2,2016-01-01 00:00:44,2016-01-01 00:05:15,1,1.10,-73.974159240722656,40.795730590820313,1,N,-73.962516784667969,40.804931640625,1,6,0.5,0.5,1,0,0.3,8.3
2,2016-01-01 00:00:45,2016-01-01 00:09:17,6,1.85,-73.99420166015625,40.726470947265625,1,N,-74.014747619628906,40.716201782226563,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2016-01-01 00:00:47,2016-01-01 00:12:38,1,1.43,-73.989639282226563,40.734397888183594,1,N,-73.978790283203125,40.724113464355469,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-01-01 00:00:47,2016-01-01 00:18:25,1,4.93,-74.001480102539063,40.727439880371094,1,N,-73.956451416015625,40.768150329589844,1,17.5,0.5,0.5,3.76,0,0.3,22.56
1,2016-01-01 00:00:48,2016-01-01 00:03:38,1,.80,-73.979156494140625,40.740509033203125,1,N,-73.988525390625,40.734645843505859,1,4.5,0.5,0.5,1.45,0,0.3,7.25
1,2016-01-01 00:00:49,2016-01-01 00:13:15,2,8.70,-73.953926086425781,40.766944885253906,1,N,-73.924461364746094,40.861392974853516,1,25,0.5,0.5,0,0,0.3,26.3
2,2016-01-01 00:00:49,2016-01-01 00:09:01,1,1.22,-73.982139587402344,40.771686553955078,1,N,-73.974456787109375,40.762485504150391,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-01-01 00:00:50,2016-01-01 00:19:47,2,11.87,-73.78082275390625,40.645183563232422,1,N,-73.890846252441406,40.743007659912109,1,33,0.5,0.5,8.58,0,0.3,42.88
2,2016-01-01 00:00:50,2016-01-01 00:06:29,6,.72,-73.997398376464844,40.720748901367188,1,N,-73.999183654785156,40.7279052734375,1,5.5,0.5,0.5,1.36,0,0.3,8.16
1,2016-01-01 00:00:52,2016-01-01 00:29:50,2,3.10,-73.984046936035156,40.755279541015625,1,N,-73.995147705078125,40.720634460449219,1,19.5,0.5,0.5,4.15,0,0.3,24.95
1,2016-01-01 00:00:52,2016-01-01 00:08:00,3,1.80,-73.983871459960937,40.742408752441406,1,N,-74.002365112304687,40.726348876953125,2,8,0.5,0.5,0,0,0.3,9.3
2,2016-01-01 00:00:52,2016-01-01 00:11:18,1,2.50,-73.995750427246094,40.744091033935547,1,N,-74.009750366210937,40.712760925292969,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2016-01-01 00:00:53,2016-01-01 00:22:27,1,4.90,-73.985084533691406,40.747165679931641,1,N,-73.958038330078125,40.717491149902344,1,19,0.5,0.5,1.7,0,0.3,22
2,2016-01-01 00:00:54,2016-01-01 00:08:43,1,1.53,-73.971000671386719,40.797641754150391,1,N,-73.953697204589844,40.785129547119141,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2016-01-01 00:00:55,2016-01-01 00:17:14,1,1.10,-73.984153747558594,40.764858245849609,1,N,-73.97802734375,40.762935638427734,2,11,0.5,0.5,0,0,0.3,12.3
2,2016-01-01 00:00:55,2016-01-01 00:28:34,4,15.64,-73.787139892578125,40.644050598144531,1,N,-73.94842529296875,40.730735778808594,2,44,0.5,0.5,0,0,0.3,45.3
1,2016-01-01 00:00:56,2016-01-01 00:17:24,1,5.70,-73.987724304199219,40.750568389892578,1,N,-74.035568237304688,40.713573455810547,1,18,0.5,0.5,8,10.5,0.3,37.8
2,2016-01-01 00:00:57,2016-01-01 00:10:48,6,2.56,-73.979652404785156,40.776119232177734,1,N,-73.964683532714844,40.806755065917969,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2016-01-01 00:01:00,2016-01-01 00:18:06,3,15.25,-73.781806945800781,40.644863128662109,1,N,-73.937973022460938,40.726325988769531,1,40.5,0.5,0.5,0,0,0.3,41.8
2,2016-01-01 00:01:01,2016-01-01 00:07:49,5,1.65,-73.965278625488281,40.801040649414063,1,N,-73.947479248046875,40.815170288085937,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-01-01 00:01:01,2016-01-01 00:13:08,6,7.85,-73.979629516601563,40.743255615234375,1,N,-73.911872863769531,40.764629364013672,1,22.5,0.5,0.5,5.87,5.54,0.3,35.21
2,2016-01-01 00:01:03,2016-01-01 00:20:29,2,1.28,-73.984420776367188,40.767238616943359,1,N,-73.978599548339844,40.754261016845703,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2016-01-01 00:01:06,2016-01-01 00:26:34,1,3.18,-74.010993957519531,40.708873748779297,1,N,-73.988052368164063,40.749320983886719,2,17,0.5,0.5,0,0,0.3,18.3
2,2016-01-01 00:01:06,2016-01-01 00:04:38,1,.56,-73.980743408203125,40.746910095214844,1,N,-73.990867614746094,40.75115966796875,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-01-01 00:01:07,2016-01-01 00:05:04,2,.94,-73.991973876953125,40.726478576660156,1,N,-74.003082275390625,40.722049713134766,2,5,0.5,0.5,0,0,0.3,6.3
1,2016-01-01 00:01:08,2016-01-01 00:19:36,1,3.20,-74.00213623046875,40.760639190673828,1,N,-73.972892761230469,40.743450164794922,1,14.5,0.5,0.5,3.15,0,0.3,18.95
1,2016-01-01 00:01:08,2016-01-01 00:17:13,1,2.70,-73.994972229003906,40.760234832763672,1,N,-74.00152587890625,40.735855102539063,1,13,0.5,0.5,4.25,0,0.3,18.55
1,2016-01-01 00:01:08,2016-01-01 00:23:22,1,5.00,-74.002265930175781,40.730369567871094,1,N,-73.951683044433594,40.77349853515625,1,19.5,0.5,0.5,4.5,0,0.3,25.3
1,2016-01-01 00:01:09,2016-01-01 00:06:37,2,1.60,-73.980827331542969,40.779640197753906,1,N,-73.971412658691406,40.798587799072266,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,2016-01-01 00:01:09,2016-01-01 00:05:23,1,.58,-73.998077392578125,40.737968444824219,1,N,-74.004127502441406,40.742790222167969,1,5,0.5,0.5,1.26,0,0.3,7.56
1,2016-01-01 00:01:10,2016-01-01 00:36:55,2,6.00,-73.999443054199219,40.729835510253906,1,N,-73.964179992675781,40.803153991699219,1,25.5,0.5,0.5,5.36,0,0.3,32.16
2,2016-01-01 00:01:10,2016-01-01 00:08:00,5,2.51,-73.932708740234375,40.752861022949219,1,N,-73.963615417480469,40.757640838623047,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2016-01-01 00:01:10,2016-01-01 00:24:39,4,1.24,-73.981689453125,40.768390655517578,1,N,-73.979751586914063,40.755538940429688,2,14.5,0.5,0.5,0,0,0.3,15.8
1,2016-01-01 00:01:11,2016-01-01 00:08:06,1,1.50,-74.003486633300781,40.741569519042969,1,N,-74.002357482910156,40.726341247558594,1,7.5,0.5,0.5,2.2,0,0.3,11
1,2016-01-01 00:01:11,2016-01-01 00:07:04,2,1.40,-73.977943420410156,40.783676147460938,1,N,-73.955589294433594,40.773441314697266,1,7,0.5,0.5,2.45,0,0.3,10.75
2,2016-01-01 00:01:11,2016-01-01 00:11:15,1,1.89,-73.992568969726563,40.739616394042969,1,N,-73.995315551757812,40.721817016601563,2,9,0.5,0.5,0,0,0.3,10.3
2,2016-01-01 00:01:12,2016-01-01 00:18:49,1,2.15,-73.977760314941406,40.752281188964844,1,N,-73.956825256347656,40.768070220947266,1,13,0.5,0.5,2.86,0,0.3,17.16
1,2016-01-01 00:01:13,2016-01-01 00:22:09,1,2.50,-73.994255065917969,40.73199462890625,1,N,-73.9786376953125,40.751388549804688,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2016-01-01 00:01:13,2016-01-01 00:09:57,5,1.89,-73.985160827636719,40.744529724121094,1,N,-73.965461730957031,40.762851715087891,1,8.5,0.5,0.5,1,0,0.3,10.8
1,2016-01-01 00:01:14,2016-01-01 00:05:54,1,.60,-73.982292175292969,40.751331329345703,1,N,-73.991340637207031,40.750339508056641,1,5,0.5,0.5,0,0,0.3,6.3
1,2016-01-01 00:01:14,2016-01-01 00:38:19,1,24.00,-73.992301940917969,40.749290466308594,5,N,-74.320327758789063,40.720523834228516,1,140,0,0,30.95,14.5,0.3,185.75
2,2016-01-01 00:01:14,2016-01-01 00:09:01,1,2.34,-73.934318542480469,40.751483917236328,1,N,-73.972511291503906,40.764915466308594,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2016-01-01 00:01:14,2016-01-01 00:31:34,1,13.64,-73.78192138671875,40.644760131835938,1,N,-73.979248046875,40.661869049072266,2,39,0.5,0.5,0,0,0.3,40.3
2,2016-01-01 00:01:15,2016-01-01 00:34:37,5,3.44,-73.95953369140625,40.782745361328125,1,N,-73.993759155273438,40.745582580566406,2,21.5,0.5,0.5,0,0,0.3,22.8
2,2016-01-01 00:01:15,2016-01-01 00:13:15,1,7.04,-73.952644348144531,40.776496887207031,1,N,-74.005638122558594,40.709121704101563,1,20.5,0.5,0.5,5.45,0,0.3,27.25
1,2016-01-01 00:01:16,2016-01-01 00:03:52,1,.20,-73.995613098144531,40.764671325683594,1,N,-73.992149353027344,40.764148712158203,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2016-01-01 00:01:16,2016-01-01 00:13:16,1,.90,-73.977432250976563,40.758316040039063,1,N,-73.983444213867188,40.766860961914062,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2016-01-01 00:01:17,2016-01-01 00:11:08,1,2.00,-73.927742004394531,40.697872161865234,1,N,-73.961212158203125,40.698276519775391,1,9.5,0.5,0.5,2.7,0,0.3,13.5
1,2016-01-01 00:01:19,2016-01-01 00:03:00,1,.30,-73.966590881347656,40.757587432861328,1,N,-73.965774536132813,40.754348754882813,1,3.5,0.5,0.5,1.2,0,0.3,6
1,2016-01-01 00:01:19,2016-01-01 00:15:00,1,1.80,-73.954742431640625,40.765506744384766,1,N,-73.981918334960938,40.766231536865234,1,10.5,0.5,0.5,0,0,0.3,11.8
2,2016-01-01 00:01:19,2016-01-01 00:03:12,2,.37,-73.997695922851562,40.737659454345703,1,N,-73.991241455078125,40.734981536865234,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2016-01-01 00:01:20,2016-01-01 00:07:24,2,1.00,-73.967552185058594,40.756858825683594,1,N,-73.978309631347656,40.748611450195313,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2016-01-01 00:01:20,2016-01-01 00:14:39,1,5.10,-73.964698791503906,40.796798706054688,1,N,-74.002204895019531,40.749237060546875,2,17,0.5,0.5,0,0,0.3,18.3
1,2016-01-01 00:01:20,2016-01-01 00:13:36,1,1.80,-73.970108032226563,40.759799957275391,1,N,-73.989356994628906,40.742988586425781,1,9.5,0.5,0.5,2,0,0.3,12.8
2,2016-01-01 00:01:21,2016-01-01 00:12:57,1,2.25,-74.001899719238281,40.739406585693359,1,N,-73.974868774414063,40.744388580322266,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2016-01-01 00:01:21,2016-01-01 00:06:40,1,.87,-73.955223083496094,40.804378509521484,1,N,-73.963699340820313,40.798000335693359,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2016-01-01 00:01:21,2016-01-01 00:27:41,6,8.78,-73.996627807617188,40.724601745605469,1,N,-73.869979858398438,40.755290985107422,2,27,0.5,0.5,0,0,0.3,28.3
1,2016-01-01 00:01:22,2016-01-01 00:10:04,1,1.60,-74.004669189453125,40.715957641601563,1,N,-73.989860534667969,40.734043121337891,2,8,0.5,0.5,0,0,0.3,9.3
2,2016-01-01 00:01:22,2016-01-01 00:09:25,1,1.67,-73.948280334472656,40.782630920410156,1,N,-73.938461303710938,40.792289733886719,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2016-01-01 00:01:23,2016-01-01 00:09:22,1,1.11,-73.998611450195313,40.738170623779297,1,N,-73.994590759277344,40.75054931640625,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2016-01-01 00:01:24,2016-01-01 00:23:19,2,6.50,-73.972267150878906,40.759864807128906,1,N,-73.876602172851562,40.748664855957031,2,22.5,0.5,0.5,0,0,0.3,23.8
1,2016-01-01 00:01:24,2016-01-01 00:09:52,1,1.90,-73.959747314453125,40.801292419433594,1,N,-73.950645446777344,40.822933197021484,2,9,0.5,0.5,0,0,0.3,10.3
2,2016-01-01 00:01:24,2016-01-01 00:21:59,1,2.94,-73.979400634765625,40.739768981933594,1,N,-73.999549865722656,40.742519378662109,1,15,0.5,0.5,0,0,0.3,16.3
2,2016-01-01 00:01:24,2016-01-01 00:05:58,3,1.89,-73.972930908203125,40.752601623535156,1,N,-73.955856323242188,40.776050567626953,1,7.5,0.5,0.5,1,0,0.3,9.8
1,2016-01-01 00:01:26,2016-01-01 00:10:01,2,.80,-73.979644775390625,40.760196685791016,1,N,-73.974853515625,40.753742218017578,2,7,0.5,0.5,0,0,0.3,8.3
1,2016-01-01 00:01:26,2016-01-01 00:19:52,1,5.00,-73.995040893554687,40.760448455810547,1,N,-73.938812255859375,40.799385070800781,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-01-01 00:01:26,2016-01-01 00:13:41,1,3.86,-73.976837158203125,40.764591217041016,1,N,-73.9541015625,40.804759979248047,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2016-01-01 00:01:26,2016-01-01 00:12:40,1,2.70,-74.000953674316406,40.730838775634766,1,N,-74.017234802246094,40.704917907714844,2,11,0.5,0.5,0,0,0.3,12.3
1,2016-01-01 00:01:27,2016-01-01 00:35:02,1,3.10,-73.974395751953125,40.763877868652344,1,N,-73.999267578125,40.728160858154297,1,21,0.5,0.5,4.45,0,0.3,26.75
1,2016-01-01 00:01:27,2016-01-01 00:02:33,1,.10,-73.955177307128906,40.773174285888672,1,N,-73.956230163574219,40.772037506103516,3,3,0.5,0.5,0,0,0.3,4.3
2,2016-01-01 00:01:27,2016-01-01 00:14:34,1,1.40,-73.9898681640625,40.7293701171875,1,N,-73.983924865722656,40.745647430419922,1,9,0.5,0.5,3.09,0,0.3,13.39
1,2016-01-01 00:01:29,2016-01-01 00:25:53,1,11.20,-73.969612121582031,40.757713317871094,1,N,-73.902236938476562,40.702812194824219,1,32.5,0.5,0.5,0,0,0.3,33.8
1,2016-01-01 00:01:29,2016-01-01 00:29:40,1,5.60,-74.002418518066406,40.733234405517578,1,N,-73.924583435058594,40.691917419433594,1,22.5,0.5,0.5,4.75,0,0.3,28.55
